iter	RMSE
0	4150.812967
1	3871.496013
2	3622.620292
3	3402.212031
4	3204.954156
5	3030.72309
6	2879.7602
7	2746.059924
8	2624.34263
9	2522.292218
10	2433.265733
11	2354.14562
12	2285.447391
13	2224.67965
14	2168.298541
15	2120.609093
16	2079.511987
17	2041.193062
18	2000.591964
19	1972.081248
20	1942.814317
21	1918.501125
22	1891.610364
23	1871.994764
24	1849.400672
25	1833.630697
26	1820.1332
27	1805.437159
28	1792.560294
29	1781.766039
30	1771.867669
31	1762.670968
32	1751.864352
33	1743.552784
34	1736.128482
35	1729.808427
36	1724.475839
37	1718.568389
38	1712.989742
39	1707.264073
40	1701.426558
41	1697.097657
42	1691.511943
43	1687.55382
44	1683.996161
45	1680.571644
46	1677.329009
47	1674.424105
48	1670.616562
49	1667.020161
50	1663.68864
51	1661.03708
52	1657.931121
53	1654.729101
54	1652.65931
55	1650.488011
56	1648.302545
57	1643.346853
58	1641.364819
59	1639.182974
60	1636.567077
61	1634.020433
62	1631.942094
63	1629.885699
64	1627.645211
65	1625.305808
66	1623.627897
67	1620.801239
68	1618.90665
69	1616.88319
70	1614.93423
71	1613.10181
72	1611.149268
73	1609.085882
74	1607.640669
75	1605.829232
76	1604.492792
77	1603.531379
78	1600.898947
79	1598.89772
80	1597.491926
81	1595.741879
82	1594.574077
83	1592.481704
84	1590.965193
85	1589.674254
86	1588.636751
87	1587.625401
88	1586.391447
89	1584.710954
90	1582.64584
91	1581.711121
92	1580.219766
93	1578.540613
94	1577.098975
95	1576.403347
96	1574.804179
97	1574.157107
98	1573.071805
99	1571.752097
100	1570.225444
101	1569.422134
102	1568.006727
103	1567.069741
104	1566.210562
105	1565.016809
106	1563.863068
107	1562.662584
108	1561.298269
109	1560.329753
110	1559.219319
111	1557.658477
112	1556.217177
113	1555.247789
114	1553.814678
115	1552.373602
116	1551.719232
117	1550.539118
118	1549.623709
119	1548.517206
120	1547.331211
121	1546.474469
122	1545.559701
123	1544.846542
124	1544.170791
125	1543.503732
126	1542.900412
127	1541.771764
128	1540.928573
129	1540.271543
130	1539.172461
131	1538.105163
132	1537.532193
133	1536.9342
134	1536.123258
135	1535.087598
136	1534.228899
137	1533.063583
138	1532.574961
139	1531.99504
140	1531.201216
141	1530.632944
142	1530.123181
143	1529.437222
144	1528.687667
145	1527.846542
146	1527.018178
147	1526.338603
148	1525.522496
149	1524.055434
150	1523.358063
151	1522.608511
152	1521.982838
153	1521.234906
154	1520.373627
155	1519.62227
156	1519.155184
157	1518.306526
158	1517.606729
159	1516.796372
160	1516.244202
161	1515.303952
162	1514.726034
163	1514.054586
164	1513.215953
165	1512.719972
166	1512.158493
167	1511.582555
168	1511.095826
169	1510.366292
170	1510.004406
171	1509.420529
172	1509.073443
173	1508.394611
174	1507.701103
175	1507.034573
176	1506.738559
177	1506.304327
178	1505.641645
179	1504.926547
180	1504.243616
181	1503.827928
182	1503.157035
183	1502.410207
184	1501.736759
185	1501.023656
186	1500.12437
187	1499.606214
188	1498.748197
189	1498.295988
190	1497.163262
191	1496.74349
192	1495.970353
193	1495.018319
194	1494.518025
195	1494.113357
196	1493.348206
197	1492.961527
198	1492.585552
199	1492.035599
200	1491.609458
201	1491.145602
202	1490.68469
203	1490.265192
204	1489.745142
205	1489.254818
206	1488.658627
207	1488.243823
208	1487.909984
209	1487.179504
210	1486.725395
211	1486.270729
212	1485.759879
213	1485.326466
214	1484.952808
215	1484.646411
216	1483.859322
217	1483.316721
218	1482.972543
219	1482.490223
220	1481.904475
221	1481.554246
222	1481.070391
223	1480.737566
224	1480.108984
225	1479.622785
226	1479.118288
227	1478.497149
228	1478.20193
229	1477.759245
230	1477.331321
231	1476.924403
232	1476.635484
233	1476.181559
234	1475.797085
235	1475.577853
236	1475.184563
237	1474.65578
238	1474.375648
239	1474.061111
240	1473.714645
241	1473.326738
242	1472.90179
243	1472.434798
244	1472.125235
245	1471.651625
246	1471.313989
247	1471.027468
248	1470.675491
249	1470.32864
250	1470.094048
251	1469.672667
252	1469.300405
253	1469.044433
254	1468.342044
255	1467.943271
256	1467.648926
257	1467.236382
258	1466.986869
259	1466.382921
260	1465.970298
261	1465.609412
262	1465.243992
263	1464.71982
264	1464.377749
265	1463.915217
266	1463.664694
267	1463.07809
268	1462.749269
269	1462.449807
270	1462.019091
271	1461.716559
272	1461.522516
273	1461.11259
274	1460.681679
275	1460.3451
276	1459.659888
277	1459.333969
278	1459.127905
279	1458.692233
280	1458.264307
281	1457.871863
282	1457.606212
283	1457.32019
284	1456.928763
285	1456.743147
286	1456.482911
287	1456.108225
288	1455.611621
289	1455.105702
290	1454.66578
291	1454.451111
292	1454.154099
293	1453.623411
294	1453.230582
295	1452.957289
296	1452.517163
297	1452.121097
298	1451.771738
299	1451.528879
