iter	Passed	Remaining
0	25	7500
1	38	5788
2	51	5076
3	64	4800
4	77	4595
5	90	4423
6	103	4331
7	116	4265
8	130	4214
9	143	4152
10	156	4099
11	168	4055
12	182	4024
13	195	3997
14	208	3966
15	220	3921
16	233	3887
17	246	3854
18	257	3807
19	271	3796
20	282	3754
21	294	3715
22	310	3743
23	327	3762
24	342	3772
25	358	3781
26	373	3779
27	390	3790
28	407	3803
29	422	3801
30	437	3800
31	453	3801
32	470	3805
33	486	3808
34	504	3817
35	520	3819
36	536	3816
37	553	3814
38	570	3819
39	587	3821
40	604	3821
41	621	3820
42	638	3816
43	655	3814
44	672	3810
45	687	3796
46	704	3793
47	720	3783
48	737	3777
49	755	3777
50	772	3771
51	788	3761
52	805	3754
53	822	3748
54	839	3737
55	854	3723
56	871	3715
57	888	3708
58	904	3696
59	921	3685
60	937	3672
61	953	3661
62	970	3650
63	987	3641
64	1004	3629
65	1020	3617
66	1036	3605
67	1052	3591
68	1070	3585
69	1090	3584
70	1110	3580
71	1126	3568
72	1142	3552
73	1160	3545
74	1177	3531
75	1195	3523
76	1212	3510
77	1228	3496
78	1245	3483
79	1262	3472
80	1279	3460
81	1297	3450
82	1315	3438
83	1331	3424
84	1349	3413
85	1366	3400
86	1384	3389
87	1402	3379
88	1420	3367
89	1438	3356
90	1455	3342
91	1473	3330
92	1490	3318
93	1508	3306
94	1526	3294
95	1544	3281
96	1562	3269
97	1580	3258
98	1597	3242
99	1616	3233
100	1634	3220
101	1651	3205
102	1668	3190
103	1685	3177
104	1703	3163
105	1720	3149
106	1739	3137
107	1756	3123
108	1774	3108
109	1792	3095
110	1809	3081
111	1827	3068
112	1844	3052
113	1864	3041
114	1882	3027
115	1901	3015
116	1918	3001
117	1936	2986
118	1954	2972
119	1970	2955
120	1988	2941
121	2004	2925
122	2023	2911
123	2040	2896
124	2057	2880
125	2074	2864
126	2091	2849
127	2109	2835
128	2127	2820
129	2146	2806
130	2163	2791
131	2180	2774
132	2198	2760
133	2214	2743
134	2230	2726
135	2249	2712
136	2265	2696
137	2284	2681
138	2300	2664
139	2317	2649
140	2334	2632
141	2351	2616
142	2368	2599
143	2384	2583
144	2401	2567
145	2420	2553
146	2437	2536
147	2456	2522
148	2474	2507
149	2490	2490
150	2507	2474
151	2524	2458
152	2541	2441
153	2557	2424
154	2574	2408
155	2592	2392
156	2609	2377
157	2627	2361
158	2644	2345
159	2661	2328
160	2678	2312
161	2694	2295
162	2711	2279
163	2727	2261
164	2745	2246
165	2761	2228
166	2777	2211
167	2793	2195
168	2810	2178
169	2827	2162
170	2844	2146
171	2861	2129
172	2878	2112
173	2895	2096
174	2913	2081
175	2931	2065
176	2949	2049
177	2965	2032
178	2982	2016
179	2999	1999
180	3016	1983
181	3033	1966
182	3051	1950
183	3067	1933
184	3085	1918
185	3103	1902
186	3121	1886
187	3139	1870
188	3157	1854
189	3175	1838
190	3193	1822
191	3211	1806
192	3229	1790
193	3246	1774
194	3264	1757
195	3282	1741
196	3300	1725
197	3317	1709
198	3335	1692
199	3353	1676
200	3370	1660
201	3388	1643
202	3407	1627
203	3425	1612
204	3444	1596
205	3463	1580
206	3482	1564
207	3499	1548
208	3517	1531
209	3534	1514
210	3551	1498
211	3568	1481
212	3587	1465
213	3604	1448
214	3622	1432
215	3639	1415
216	3656	1398
217	3673	1381
218	3690	1364
219	3708	1348
220	3725	1331
221	3741	1314
222	3758	1297
223	3775	1280
224	3792	1264
225	3809	1247
226	3825	1230
227	3842	1213
228	3860	1196
229	3878	1180
230	3895	1163
231	3912	1146
232	3928	1129
233	3945	1112
234	3962	1096
235	3979	1079
236	3995	1062
237	4012	1045
238	4030	1028
239	4047	1011
240	4064	995
241	4080	977
242	4097	961
243	4115	944
244	4131	927
245	4149	910
246	4167	894
247	4184	877
248	4201	860
249	4218	843
250	4235	826
251	4253	810
252	4270	793
253	4287	776
254	4304	759
255	4321	742
256	4339	725
257	4355	709
258	4373	692
259	4391	675
260	4408	658
261	4425	641
262	4442	624
263	4458	607
264	4475	591
265	4492	574
266	4509	557
267	4526	540
268	4543	523
269	4559	506
270	4575	489
271	4593	472
272	4610	455
273	4627	439
274	4644	422
275	4660	405
276	4676	388
277	4691	371
278	4709	354
279	4726	337
280	4743	320
281	4760	303
282	4776	286
283	4792	270
284	4808	253
285	4825	236
286	4843	219
287	4861	202
288	4878	185
289	4896	168
290	4912	151
291	4928	135
292	4946	118
293	4963	101
294	4980	84
295	4997	67
296	5013	50
297	5029	33
298	5047	16
299	5063	0
